Date/Time,Power Produced (W)
03/04/19 0:00,0
03/04/19 0:05,0
03/04/19 0:10,0
03/04/19 0:15,0
03/04/19 0:20,0
03/04/19 0:25,0
03/04/19 0:30,0
03/04/19 0:35,0
03/04/19 0:40,0
03/04/19 0:45,0
03/04/19 0:50,0
03/04/19 0:55,0
03/04/19 1:00,0
03/04/19 1:05,0
03/04/19 1:10,0
03/04/19 1:15,0
03/04/19 1:20,0
03/04/19 1:25,0
03/04/19 1:30,0
03/04/19 1:35,0
03/04/19 1:40,0
03/04/19 1:45,0
03/04/19 1:50,0
03/04/19 1:55,0
03/04/19 2:00,0
03/04/19 2:05,0
03/04/19 2:10,0
03/04/19 2:15,0
03/04/19 2:20,0
03/04/19 2:25,0
03/04/19 2:30,0
03/04/19 2:35,0
03/04/19 2:40,0
03/04/19 2:45,0
03/04/19 2:50,0
03/04/19 2:55,0
03/04/19 3:00,0
03/04/19 3:05,0
03/04/19 3:10,0
03/04/19 3:15,0
03/04/19 3:20,0
03/04/19 3:25,0
03/04/19 3:30,0
03/04/19 3:35,0
03/04/19 3:40,0
03/04/19 3:45,0
03/04/19 3:50,0
03/04/19 3:55,0
03/04/19 4:00,0
03/04/19 4:05,0
03/04/19 4:10,0
03/04/19 4:15,0
03/04/19 4:20,0
03/04/19 4:25,0
03/04/19 4:30,0
03/04/19 4:35,0
03/04/19 4:40,0
03/04/19 4:45,0
03/04/19 4:50,0
03/04/19 4:55,0
03/04/19 5:00,0
03/04/19 5:05,0
03/04/19 5:10,0
03/04/19 5:15,0
03/04/19 5:20,0
03/04/19 5:25,0
03/04/19 5:30,0
03/04/19 5:35,0
03/04/19 5:40,0
03/04/19 5:45,0
03/04/19 5:50,0
03/04/19 5:55,0
03/04/19 6:00,0
03/04/19 6:05,0
03/04/19 6:10,0
03/04/19 6:15,0
03/04/19 6:20,0
03/04/19 6:25,0
03/04/19 6:30,0
03/04/19 6:35,97
03/04/19 6:40,30
03/04/19 6:45,30
03/04/19 6:50,34
03/04/19 6:55,36
03/04/19 7:00,36
03/04/19 7:05,62
03/04/19 7:10,77
03/04/19 7:15,77
03/04/19 7:20,104
03/04/19 7:25,119
03/04/19 7:30,119
03/04/19 7:35,152
03/04/19 7:40,171
03/04/19 7:45,171
03/04/19 7:50,208
03/04/19 7:55,230
03/04/19 8:00,230
03/04/19 8:05,270
03/04/19 8:10,294
03/04/19 8:15,294
03/04/19 8:20,319
03/04/19 8:25,336
03/04/19 8:30,367
03/04/19 8:35,
03/04/19 8:40,
03/04/19 8:45,
03/04/19 8:50,
03/04/19 8:55,
03/04/19 9:00,
03/04/19 9:05,
03/04/19 9:10,
03/04/19 9:15,
03/04/19 9:20,453
03/04/19 9:25,572
03/04/19 9:30,577
03/04/19 9:35,606
03/04/19 9:40,624
03/04/19 9:45,631
03/04/19 9:50,646
03/04/19 9:55,663
03/04/19 10:00,667
03/04/19 10:05,681
03/04/19 10:10,697
03/04/19 10:15,701
03/04/19 10:20,710
03/04/19 10:25,730
03/04/19 10:30,734
03/04/19 10:35,747
03/04/19 10:40,768
03/04/19 10:45,772
03/04/19 10:50,784
03/04/19 10:55,790
03/04/19 11:00,790
03/04/19 11:05,782
03/04/19 11:10,790
03/04/19 11:15,792
03/04/19 11:20,807
03/04/19 11:25,821
03/04/19 11:30,823
03/04/19 11:35,828
03/04/19 11:40,826
03/04/19 11:45,827
03/04/19 11:50,823
03/04/19 11:55,826
03/04/19 12:00,825
03/04/19 12:05,838
03/04/19 12:10,852
03/04/19 12:15,858
03/04/19 12:20,854
03/04/19 12:25,857
03/04/19 12:30,858
03/04/19 12:35,857
03/04/19 12:40,852
03/04/19 12:45,854
03/04/19 12:50,874
03/04/19 12:55,886
03/04/19 13:00,886
03/04/19 13:05,859
03/04/19 13:10,841
03/04/19 13:15,840
03/04/19 13:20,873
03/04/19 13:25,851
03/04/19 13:30,840
03/04/19 13:35,814
03/04/19 13:40,830
03/04/19 13:45,840
03/04/19 13:50,836
03/04/19 13:55,809
03/04/19 14:00,803
03/04/19 14:05,723
03/04/19 14:10,710
03/04/19 14:15,721
03/04/19 14:20,734
03/04/19 14:25,706
03/04/19 14:30,698
